Summary,Severity
[wayland] Folders with many entries in them on my bookmarks toolbar do not open, --
The latest update (67) just deleted ALL OF MY BOOKMARKS AND EXTENSIONS,normal
Dragging imported folders in bookmark manager does not move all nested bookmarks,normal
[wayland] Contents of folders in Bookmarks Toolbar which require scrolling don't appear, --
nsINavBookmarkObserver onItemChanged() is triggered for each tag added to a bookmark (for that bookmark),normal
Gtk3 bookmarks view has wrong focus on open,normal
RTL line support in webpages' titles in Tabs and Bookmarks,normal
Sync Bookmarks: Browser are unresponsive when running Sync.Engine.Bookmarks TRACE Mapped,normal
"Ctrl+shift+drag on a bookmark/bookmark folder indicates a (symbolic) link will be created, but only a copy is created",normal
Feature Request: Bookmarks Folder Holding Function,normal
"when the Preference under General ""Open windows in a new tab instead"" is checked the new URL loads over the current tab when opening a url from the library",normal
Bookmarks list entries disappear for a while when scrolling down,normal
Unable to open bookmarks using middle click when connected to single monitor,normal
Fennec Bookmark Management: Desktop Bookmarks should be at bottom of folder list to match Firefox Desktop order,normal
"Initial bookmarks sync is very slow, takes hours or never ends (for ~35000 bookmarks)",normal
"Getting Binary Symbols in Navbar, Bookmarks, and Menu Text",normal
Firefox Sync restores deleted bookmarks,normal
Bookmarks with no title in bookmark panel disappear when in sync with samsung internet,normal
Toggling Bookmarks Sidebar On/Off always causes flickering on the right side of the screen if you've selected 'Move Sidebar to Left'...,normal
Viewing bookmarks clears current page - no way to launch bookmarklets,normal
Problematic interations between sync and icloud-bookmarks extension,normal
Deleted bookmarks in toolbar folder come back at end of list.,normal
"When you add a pocket bookmark, it plays an animation which blocks the bookmarks from being opened",minor
Bookmarks are not shown in overview section on new tab,normal
Button to select the bookmarks folder that you want to be displayed on Bookmarks Toolbar,normal
"In Bookmarks Toolbar, if >1 folder has (no title), upon syncing, all bookmarks across both folders will end up in one folder, and the other will be empty.",S4
[sway] [wayland] Bookmarks menu crashes,normal
Bookmarks get mixed up during sync.,normal
Bookmark button not working after system returning from standby,normal
Bookmarks toolbar wrong folding after resize window,S3
My bookmarks are not visible in Highlights,S3
my bookmarks continuously copy/sync and duplicate them self,S3
"Special bookmarks folders are not merged, when using sync with different languages",normal
Bookmarks toolbar item height is greater than other buttons height,normal
"messageManager not working for ""bookmarksPanel.xul"".",normal
Do not prompt if I really want to use HTTP authentication for URLs like http://user1@eample.org when using bookmarks or the location bar,normal
Being able to remember better the last folders selected for bookmarking,normal
provide folder search within bookmarks according to matching characters,normal
Bookmarks submenus disappear when right-clicking on them,normal
Can't open folder in Bookmarks toolbar with touchscreen: closes immediately (Ubuntu 14.04),normal
Feature Request: Faceted Tags,normal
Don't log short-lived URLs in history,normal
Bookmark button doesn't work if outside FF window,normal
Extra spacing in bookmarks toolbar,normal
Favicons not shown for bookmarks on bookmarks bar or in bookmarks menu when there are only trivial differences in URL,normal
Closing a bookmark folder in bookmark sidebar can select/trigger another bookmark,normal
History should not be sorted,normal
Show thumbnails / previews of bookmarks and allow transformation of sets of bookmarks into tabs,normal
Bookmarks render differently in FF toolbar menus and Mac system bar menus,normal
bookmarks.search() API - add dateAdded property to query object,normal
"When there are no bookmarks in the Bookmarks bar, it shrinks vertically and doesn't stay the same height",normal
Replacing or changing search keyword URLs does not work,normal
Allow webextensions to open/enable Firefox UI elements (open file/bookmarks library/searchbar),normal
Inconsistent padding/spacing on bottom of bookmarks toolbar,normal
Show fragment in brackets in bookmark title when bookmarked,normal
"Add an ""Add bookmark here"" option",normal
Sometimes bookmarks folder gets deleted after Firefox is killed from task manager,normal
"""Show all bookmarks"" should be somewhere else in the hamburger/library bookmarks dropdown/panel/doorhanger/popup/menu",normal
"""The bookmarks and history system will not be functional"" even on new profile",normal
Firefox does not include bookmarks in address bar search,normal
Pinned top sites on home page should be synced as bookmarks,normal
Vertical alignment of Menu Bar and Bookmarks Toolbar items mismatched,normal
"→ Firefox hangs When Opening many YouTube tabs . And sometime leaks bookmarked I saved to Bookmark tool bar.For example, when I save some YouTube links to bookmark bar i didn't find them again after restarting Firefox. This Happened to me intermittently.",critical
i have lost my firefox which had my data regrading all bookmarks,normal
"navigation, bookmarks, and status bar cannot be displayed on new window",minor
Moving bookmark and folder in Bookmarks Toolbar,normal
"Firefox Profiles in VMware Host create multiple files ie bookmarks, cookies, prefs - etc",normal
Dragging entries from Bookmarks Toolbar to Trash doesn't trash them,minor
Open a selection of bookmarks,normal
Mac bookmarks library quick-search should be Command-option-F,minor
open Bookmarks subdirs at the left although there is enough space at the right,minor
Bookmarks Toolbar collapsed with search field,normal
No favicon in bookmarks copied to GNOME desktop,normal
"Upon open ""When FireFox Starts"", ""Use Bookmark"" only open the first 2 bookmarks of 7 in the list",normal
Make Bookmarks Toolbar appear on the Menu line by Default,normal
The icon arrow-liked don't disappear from the bookmark side at bookmarks toolbar,trivial
If I want to change order (bookmarks above homepage icon) text in homepage does not disapear,trivial
Auto-fill the (unused portion of the) Bookmarks Toolbar with frecently used websites,normal
In 'Bookmarks Toolbar' created and moved folder don't show bookmarks moved in it,normal
"The toolbar is all Los Angeles Times bookmarks, and drop bars, I can't edit it, if I try adding anything else to the toolbar it becomes Los Angeles Times",normal
Icons and folders in bookmarks toolbar disappear and appear after several reboots,normal
dropdown menu missing to show more bookmarks that don't fit onscreen in bookmarks toolbar,normal
Bookmarks Menu button redundant to the Firefox Menu button,normal
Bookmarks toolbar doesn't resize correctly when adding bookmarks,normal
"Add option ""Login immediately"" to Bookmarks Manager",normal
"I have to dodge the new tab arrow to click bookmarks, history or to mouse over the bookmarks or history arrow",major
Homepage with multiple bookmarks will not load correctly on startup,normal
"resize of bookmarks for all tabs just resizes the window's border, not the content area.",normal
Toolbar buttons cause Bookmarks Toolbar to grow taller.,normal
Move default bookmarks toolbar position above Tabs bar,normal
properties of bookmarks are not shown when rightclicked,major
